X,Y,OBJECTID,advisorySpeed,areaUnitID,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,meshblockId,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaId,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB
1755375,5936391,1,,507000,0,0,0,2,0,West,2009/2010,ALEXANDER AVENUE,REGATTA ROAD,,Non-Injury Crash,No,2009,0,West,0,0,0,Flat,0,Labour Weekend,0,,0,Bright sun,163800,0,0,0,2,0,0,0,0,1,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,76,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1717726,6038593,2,,502005,0,,0,1,,Null,2009/2010,SH 1N,LOOP ROAD S,,Non-Injury Crash,Yes,2009,,North,,0,,Flat,,,,,,Overcast,74601,0,0,0,2,,,0,,,,,,Northland Region,Nil,2-way,Sealed,,0,0,,100,,None,0,0,,2,Whangarei District,Stop,,,,,1,0,Open,0,,,Fine,Null
1769891,5899405,3,,523911,0,,0,1,,North,2008/2009,SH 1N,GT SOUTH OBR,,Non-Injury Crash,Yes,2009,,South,,0,,Flat,,,,,,Overcast,766500,0,0,0,2,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,0,,100,,Off,0,0,,76,Auckland,Nil,,,,,0,0,Open,1,,,Light rain,Null
1799066,5821920,4,,527007,0,0,1,1,0,South,2009/2010,WENTWORTH DRIVE,GRESHAM PLACE,,Non-Injury Crash,No,2009,0,South,0,0,0,Flat,0,,0,,0,Bright sun,952047,0,0,0,2,0,0,0,0,1,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,50,0,Null,0,0,,16,Hamilton City,Unknown,0,0,0,1,0,0,Urban,0,0,0,Fine,Null
1884460,5773472,5,,540420,0,0,0,1,0,Null,2008/2009,ELIZABETH ST,ELIZABETH STREET,,Non-Injury Crash,No,2009,0,East,0,0,1,Flat,0,,0,,0,Dark,1235500,0,0,0,2,0,0,0,0,0,,0,1,Bay of Plenty Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,24,Rotorua District,Give way,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null
1755328,5916932,6,,517701,0,,0,2,,Null,2009/2010,GRIBBLEHIRST ROAD,KING EDWARD ST,,Non-Injury Crash,No,2009,,East,,0,,Flat,,,,,,Overcast,537000,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,76,Auckland,Stop,,,,,0,0,Urban,0,,,Fine,Null
1828370,5881102,7,65,533603,0,0,0,1,0,North,2009/2010,SH 26,HUDSON ROAD,,Non-Injury Crash,Yes,2009,0,West,0,0,1,Flat,0,,0,,0,Dark,1057502,0,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,70,0,None,0,0,,11,Thames-Coromandel District,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null
1857156,5836369,8,,536615,0,0,0,1,1,South,2008/2009,SH 2,HOT SPRINGS ROAD,,Non-Injury Crash,Yes,2009,0,North,0,0,0,Flat,0,,0,,0,Overcast,1185000,0,0,0,2,0,0,0,0,0,,0,0,Bay of Plenty Region,Nil,2-way,Sealed,0,0,0,0,100,0,None,0,0,,22,Western Bay of Plenty District,Nil,0,0,0,0,0,0,Open,0,0,0,Light rain,Null
1834809,5829385,9,,534604,0,0,0,0,0,South,2009/2010,SH 27,NGARUA ROAD,,Non-Injury Crash,Yes,2009,0,South,1,0,0,Flat,0,,0,,0,Overcast,1108500,0,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,100,0,Null,0,0,,15,Matamata-Piako District,Unknown,0,0,0,0,1,0,Open,0,0,0,Fine,Null
1800516,5815650,10,,529700,0,,0,2,,Null,2009/2010,ANGLESEA ST,LONDON ST,,Non-Injury Crash,No,2009,,South,,0,,Flat,,Labour Weekend,,,,Overcast,910100,0,0,0,3,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,16,Hamilton City,Traffic Signals,,,,,0,0,Urban,0,,,Fine,Null
